txNomeParlamentar;sgPartido;codLegislatura;numAno;vlrDocumento;vlrGlosa;vlrLiquido;nomeEsgPartido
CHICO DAS VERDURAS;PRP;54;2014;575911.596;6761.5199999999995;1027331.58;CHICO DAS VERDURAS (PRP)
CHICO DAS VERDURAS;PRP;54;2013;497176.15895;2116.4700000000003;928078.42;CHICO DAS VERDURAS (PRP)
ROCHA;PSDB;55;2017;643380.25;2192.15;638888.58;ROCHA (PSDB)
ROCHA;PSDB;55;2016;632508.89;1951.78;629035.73;ROCHA (PSDB)
MARINALDO ROSENDO;PP;55;2018;626715.7;30.0;626685.7;MARINALDO ROSENDO (PP)
Edio Lopes;PR;55;2016;633857.6;111.53;621746.07;Edio Lopes (PR)
Edio Lopes;PR;55;2017;617208.0599999999;0.0;617208.0599999999;Edio Lopes (PR)
ABEL MESQUITA JR.;DEM;55;2016;619095.9400000001;11244.130000000001;607851.81;ABEL MESQUITA JR. (DEM)
ZÉ GERALDO;PT;55;2018;602308.45;11.8;602296.65;ZÉ GERALDO (PT)
Dulce Miranda;MDB;55;2016;602174.93;629.4;601452.57;Dulce Miranda (MDB)
ABEL MESQUITA JR.;DEM;55;2018;602544.59;14.299999999999999;601347.14;ABEL MESQUITA JR. (DEM)
JOZI ARAÚJO;PODE;55;2017;599118.43;1863.55;597254.88;JOZI ARAÚJO (PODE)
REMÍDIO MONAI;PR;55;2017;597415.65;1021.48;596394.17;REMÍDIO MONAI (PR)
GORETE PEREIRA;PR;55;2018;617759.5599999999;3849.82;595909.74;GORETE PEREIRA (PR)
Fábio Faria;PSD;55;2018;593249.1;2367.76;590881.34;Fábio Faria (PSD)
André Figueiredo;PDT;56;2021;593722.13;2934.93;590220.48;André Figueiredo (PDT)
Wolney Queiroz;PDT;55;2017;592115.57;4601.0;587514.57;Wolney Queiroz (PDT)
ZÉ GERALDO;PT;55;2017;617646.81;1197.37;586449.44;ZÉ GERALDO (PT)
Wolney Queiroz;PDT;55;2018;592810.18;6523.27;586286.91;Wolney Queiroz (PDT)
Soraya Santos;PR;55;2017;584915.56;230.39;584685.17;Soraya Santos (PR)
MARINHA RAUPP;MDB;55;2016;584658.52;1570.29;583088.23;MARINHA RAUPP (MDB)
Jhonatan de Jesus;PRB;55;2017;582913.79;220.5;582693.29;Jhonatan de Jesus (PRB)
CÉSAR MESSIAS;PSB;55;2017;580742.23;158.94;580583.29;CÉSAR MESSIAS (PSB)
Arthur Lira;PP;55;2018;580003.72;131.97;579871.75;Arthur Lira (PP)
MARIA HELENA;MDB;55;2017;580625.82;1078.17;579547.65;MARIA HELENA (MDB)
ABEL MESQUITA JR.;DEM;55;2017;579441.81;100.8;579341.01;ABEL MESQUITA JR. (DEM)
Leonardo Picciani;MDB;55;2015;576416.18;1056.54;575359.64;Leonardo Picciani (MDB)
Domingos Neto;PSD;55;2018;574615.3;0.0;574615.3;Domingos Neto (PSD)
Jhonatan de Jesus;PRB;55;2018;573585.01;0.0;573585.01;Jhonatan de Jesus (PRB)
BRUNO ARAÚJO;PSDB;55;2018;578718.69;5838.27;572880.42;BRUNO ARAÚJO (PSDB)
Leo de Brito;PT;55;2016;572717.44;267.12;571673.78;Leo de Brito (PT)
Flaviano Melo;MDB;55;2017;571510.83;469.15;571041.68;Flaviano Melo (MDB)
