sgPartido;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
PT;2014;35423105.966667;174504.88;35167803.48;3456162
PT;2013;33543951.685966;185137.74;33204876.46;3801438
PL;2021;29422496.56;74369.5;29279050.04;1717016
PT;2011;29410700.52;455752.97;28955698.74;3453768
PT;2012;29363221.49;417010.86;28869024.77;3343626
PMDB;2014;28868618.736977;280633.68;28533197.29;2516454
PMDB;2010;28791109.63;389165.69;28391503.41;3106118
PMDB;2013;28672149.094897;166464.43;28216570.14;2843964
PL;2019;28107410.8;90339.74;27971367.66;1989276
PT;2018;27534197.52;240546.27;27137423.61;2201815
PT;2017;27069266.81;117379.33;26864963.63;2633785
PT;2016;26135589.84;121756.89;25883438.49;2590005
MDB;2016;26043003.0;126953.07;25821812.52;2218590
PMDB;2011;26147390.47;456233.09;25688497.56;2705387
PT;2015;25805865.72861;117024.41;25573565.67;2675072
PT;2019;25538691.36;105712.97;25349319.67;2212127
PP;2017;25231865.14;87576.96;25029285.88;2027025
PP;2016;25316173.94;132090.13;25020737.4;2198680
PMDB;2012;25171699.95;321100.64;24858945.59;2511432
PL;2020;24807372.81;97409.82;24649396.0;1406384
PT;2010;24522244.03;372109.48;24170310.32;2894489
MDB;2017;23986822.46;95847.72;23852897.61;1852730
PP;2021;23756428.33;125673.70999999999;23579249.2;1259832
PP;2015;23823401.41872;143755.25;23538979.98;2257805
PT;2021;23568581.72;76442.62;23468098.9;1365224
PP;2019;23597871.73;116303.39;23386344.52;1594274
MDB;2015;23496151.40598;137438.09;23294964.98;2211165
UNIÃO;2021;23106573.56;77038.86;22986818.22;1185688
MDB;2018;22658959.65;119736.04;22522108.56;1499575
PP;2018;22576000.92;170269.18;22380817.17;1528890
PSDB;2016;21564146.56;148133.07;21300066.21;2048475
UNIÃO;2019;21187803.46;81433.95;21055448.95;1448489
PSDB;2017;21216105.75;138463.25;20968932.8;1849375
PMDB;2009;20826893.33;334179.42;20847407.18;2287798
PSDB;2015;20971679.2919;92705.98;20776551.7;2191641
PT;2020;20712075.88;79265.18;20569640.24;1047256
PSDB;2018;20319133.45;177316.13;20107298.77;1489235
REPUBLICANOS;2021;19900940.67;67046.73;19760202.82;896616
PSD;2019;19534998.03;69589.41;19394948.63;1396295
PSD;2021;19182825.56;83075.4;19054859.1;1056384
DEM;2017;18937186.06;59155.64;18781005.74;1467455
UNIÃO;2020;18765727.02;66764.12;18647786.06;966056
REPUBLICANOS;2019;18746808.89;74719.53;18597992.75;1170278
PP;2020;18546794.52;83250.95;18448467.07;981512
PT;2009;18442968.73;341614.19;18376658.77;2381820
DEM;2018;18566072.38;166057.07;18374496.16;1181620
PR;2016;17900612.2;53347.01;17788533.27;1546985
REPUBLICANOS;2020;17708942.47;67137.01;17633565.73;745976
DEM;2010;17822724.18;281230.47;17542590.95;1843923
PSDB;2013;17420877.751051;122879.51;17146680.21;1883412
PSDB;2010;17244567.09;195944.52;17053987.61;2314139
PR;2015;17214007.60557;70230.46;16988591.09;1553981
PR;2017;17032004.67;79605.28;16941788.44;1351130
PSD;2014;17128771.309121;138017.92;16917405.26;1525338
DEM;2016;17103973.83;57597.79;16900347.33;1421640
DEM;2015;17028668.37006;91223.76;16806559.14;1574270
MDB;2019;16916268.86;71221.6;16801509.03;1110901
PR;2018;16727269.73;78745.0;16614682.86;1113035
PSD;2017;16655960.23;54414.25;16580845.34;1267475
PSD;2018;16600463.03;76144.53;16513128.16;1033670
PSDB;2014;16622309.804644;99059.54;16417112.75;1673568
PSD;2020;16261262.32;92425.33;16143924.7;842576
PSDB;2011;16341843.4;307890.9;16033798.87;1887004
PSDB;2012;15777635.41;209920.17;15536825.91;1719414
PSD;2016;15545577.09;70826.28;15456834.28;1186955
MDB;2021;15409593.74;48128.8;15354241.36;879592
PP**;2014;15658051.701817;101247.95;15340632.2;1435158
PSD;2013;15650606.113257;105411.89;15332323.71;1502334
PP**;2013;15487479.20126;75435.05;15275109.99;1720170
PSD;2015;15221654.81016;81461.33;15047824.48;1334291
PP**;2012;13919634.75;192020.17;13721601.02;1614114
PP**;2011;13948306.77;246296.24;13701853.54;1693756
PSD;2012;13798902.53;273109.23;13495835.98;1313766
PR;2010;13560194.29;259642.26;13219981.22;1343762
PSB;2017;12893036.07;39124.73;12820332.41;993465
DEM;2009;12710023.75;154075.0;12715904.96;1368195
PL;2022;12846554.21;37750.06;12713019.11;673680
MDB;2020;12827486.99;49766.29;12708809.98;647416
PSD;2011;13025191.69;403325.26;12622277.23;1351403
PSDB;2009;12626056.57;184550.18;12602398.06;1691866
PP**;2010;12335231.2;143079.99;12193283.85;1406249
PR;2014;12514158.047224;70011.11;12178591.16;1236546
PR;2013;12189065.567527;65028.5;11994221.84;1334880
PSB;2018;11996323.93;89766.11;11883167.01;831325
PSB;2016;11584373.45;63090.92;11493049.22;1006280
PR;2012;11736441.4;144027.81;11411822.53;1245024
PR;2011;11706245.34;300319.91;11353724.19;1268840
PR;2009;11133160.13;342560.72;10940463.04;1102453
DEM;2014;10808028.91153;51475.56;10715711.32;951426
PSB;2015;10747654.12979;39791.93;10646819.73;1033364
PT;2022;10504505.2;53026.62;10422435.76;672504
DEM;2011;10384654.23;89539.86;10295114.42;1152063
PSDB;2019;10431072.44;91187.38;10195849.49;745895
PP;2022;10265751.8;67386.73;10192199.43;531384
PDT;2017;9951518.47;36140.0;9903580.56;805310
