,nome,partido,posicionamento,ano,posicionamento_id
0,Abelardo Lupion,PFL,Centro-direita,2003,3
1,Adão Pretto,PT,Esquerda,2003,0
2,Adauto Pereira,PFL,Centro-direita,2003,3
3,Adelor Vieira,PMDB,Centro,2003,2
4,Affonso Camargo,PSDB,Centro,2003,2
5,Agnaldo Muniz,PPS,Centro,2003,2
6,Alberto Fraga,PMDB,Centro,2003,2
7,Alberto Goldman,PSDB,Centro,2003,2
8,Alceste Almeida,PMDB,Centro,2003,2
9,Alceu Collares,PDT,Centro-esquerda,2003,1
10,Aldo Rebelo,PCdoB,Esquerda,2003,0
11,Alexandre Cardoso,PSB,Centro-esquerda,2003,1
12,Alexandre Santos,PP,Direita,2003,4
13,Alice Portugal,PCdoB,Esquerda,2003,0
14,Almerinda de Carvalho,PSB,Centro-esquerda,2003,1
15,Aloysio Nunes Ferreira,PSDB,Centro,2003,2
16,Álvaro Dias,PDT,Centro-esquerda,2003,1
17,Amauri Gasques,PRONA,Direita,2003,4
18,André de Paula,PFL,Centro-direita,2003,3
19,André Luiz,PMDB,Centro,2003,2
20,André Zacharow,PDT,Centro-esquerda,2003,1
21,Angela Guadagnin,PT,Esquerda,2003,0
22,Aníbal Gomes,PMDB,Centro,2003,2
23,Anivaldo Vale,PSDB,Centro,2003,2
24,Ann Pontes,PMDB,Centro,2003,2
25,Anselmo,PT,Esquerda,2003,0
26,Antonio Cambraia,PSDB,Centro,2003,2
27,Antônio Carlos Biffi,PT,Esquerda,2003,0
28,Antonio Carlos Biscaia,PT,Esquerda,2003,0
29,Antonio Carlos Magalhães Neto,PFL,Centro-direita,2003,3
30,Antonio Carlos Mendes Thame,PSDB,Centro,2003,2
31,Antonio Carlos Pannunzio,PSDB,Centro,2003,2
32,Antonio Cruz,PTB,Direita,2003,4
33,Antonio Joaquim,PP,Direita,2003,4
34,Antonio Nogueira,PT,Esquerda,2003,0
35,Ariosto Holanda,PSDB,Centro,2003,2
36,Arlindo Chinaglia,PT,Esquerda,2003,0
37,Armando Monteiro,PTB,Direita,2003,4
38,Arnaldo Faria de Sá,PTB,Direita,2003,4
39,Arnon Bezerra,PSDB,Centro,2003,2
40,Arolde de Oliveira,PFL,Centro-direita,2003,3
41,Aroldo Cedraz,PFL,Centro-direita,2003,3
42,Ary Vanazzi,PT,Esquerda,2003,0
43,Asdrubal Bentes,PMDB,Centro,2003,2
44,Assis Miguel do Couto,PT,Esquerda,2003,0
45,Athos Avelino,PPS,Centro,2003,2
46,Átila Lins,PPS,Centro,2003,2
47,Átila Lira,PSDB,Centro,2003,2
48,B. Sá,PPS,Centro,2003,2
49,Babá,PT,Esquerda,2003,0
50,Barbosa Neto,PMDB,Centro,2003,2
51,Benedito de Lira,PP,Direita,2003,4
52,Benjamin Maranhão,PMDB,Centro,2003,2
53,Bernardo Ariston,PSB,Centro-esquerda,2003,1
54,Beto Albuquerque,PSB,Centro-esquerda,2003,1
55,Bismarck Maia,PSDB,Centro,2003,2
56,Bosco Costa,PSDB,Centro,2003,2
57,Cabo Júlio,PSB,Centro-esquerda,2003,1
58,Carlito Merss,PT,Esquerda,2003,0
59,Carlos Abicalil,PT,Esquerda,2003,0
60,Carlos Alberto Leréia,PSDB,Centro,2003,2
61,Carlos Dunga,PTB,Direita,2003,4
62,Carlos Eduardo Cadoca,PMDB,Centro,2003,2
63,Carlos Melles,PFL,Centro-direita,2003,3
64,Carlos Sampaio,PSDB,Centro,2003,2
65,Carlos Santana,PT,Esquerda,2003,0
66,Carlos Willian,PSB,Centro-esquerda,2003,1
67,Celcita Pinheiro,PFL,Centro-direita,2003,3
68,César Bandeira,PFL,Centro-direita,2003,3
69,Cezar Schirmer,PMDB,Centro,2003,2
70,Cezar Silvestri,PPS,Centro,2003,2
71,Chico Alencar,PT,Esquerda,2003,0
72,Ciro Nogueira,PFL,Centro-direita,2003,3
73,Claudio Cajado,PFL,Centro-direita,2003,3
74,Cláudio Magrão,PPS,Centro,2003,2
75,Cleonâncio Fonseca,PP,Direita,2003,4
76,Cleuber Carneiro,PFL,Centro-direita,2003,3
77,Clóvis Fecury,PFL,Centro-direita,2003,3
78,Colbert Martins,PPS,Centro,2003,2
79,Colombo,PT,Esquerda,2003,0
80,Confúcio Moura,PMDB,Centro,2003,2
81,Corauci Sobrinho,PFL,Centro-direita,2003,3
82,Coriolano Sales,PFL,Centro-direita,2003,3
83,Costa Ferreira,PFL,Centro-direita,2003,3
84,Custódio Mattos,PSDB,Centro,2003,2
85,Daniel Almeida,PCdoB,Esquerda,2003,0
86,Darci Coelho,PFL,Centro-direita,2003,3
87,Darcísio Perondi,PMDB,Centro,2003,2
88,Davi Alcolumbre,PDT,Centro-esquerda,2003,1
89,Delfim Netto,PP,Direita,2003,4
