Ano;Tema;Contagem
2002;Administração Pública;1
2003;Administração Pública;10
2003;Comunicações;1
2003;Direito Civil e Processual Civil;6
2003;Direitos Humanos e Minorias;11
2003;Economia;9
2003;Educação;1
2003;Energia, Recursos Hídricos e Minerais;7
2003;Esporte e Lazer;1
2003;Estrutura Fundiária;21
2003;Finanças Públicas e Orçamento;45
2003;Indústria, Comércio e Serviços;1
2003;Meio Ambiente e Desenvolvimento Sustentável;2
2003;Previdência e Assistência Social;2
2003;Relações Internacionais e Comércio Exterior;2
2003;Trabalho e Emprego;5
2003;Viação, Transporte e Mobilidade;4
2004;Administração Pública;79
2004;Agricultura, Pecuária, Pesca e Extrativismo;14
2004;Cidades e Desenvolvimento Urbano;6
2004;Ciência, Tecnologia e Inovação;7
2004;Defesa e Segurança;16
2004;Direito Civil e Processual Civil;1
2004;Direitos Humanos e Minorias;12
2004;Economia;28
2004;Educação;47
2004;Energia, Recursos Hídricos e Minerais;36
2004;Estrutura Fundiária;16
2004;Finanças Públicas e Orçamento;119
2004;Indústria, Comércio e Serviços;16
2004;Meio Ambiente e Desenvolvimento Sustentável;3
2004;Previdência e Assistência Social;32
2004;Relações Internacionais e Comércio Exterior;18
2004;Saúde;6
2004;Trabalho e Emprego;26
2004;Viação, Transporte e Mobilidade;13
2005;Administração Pública;56
2005;Agricultura, Pecuária, Pesca e Extrativismo;6
2005;Ciência, Tecnologia e Inovação;13
2005;Comunicações;3
2005;Defesa e Segurança;10
2005;Direito Civil e Processual Civil;9
2005;Direitos Humanos e Minorias;6
2005;Economia;28
2005;Educação;21
2005;Esporte e Lazer;8
2005;Finanças Públicas e Orçamento;85
2005;Indústria, Comércio e Serviços;15
2005;Meio Ambiente e Desenvolvimento Sustentável;5
2005;Previdência e Assistência Social;60
2005;Processo Legislativo e Atuação Parlamentar;1
2005;Saúde;17
2005;Trabalho e Emprego;21
2005;Viação, Transporte e Mobilidade;4
2006;Administração Pública;63
2006;Agricultura, Pecuária, Pesca e Extrativismo;3
2006;Arte, Cultura e Religião;3
2006;Cidades e Desenvolvimento Urbano;16
2006;Ciência, Tecnologia e Inovação;5
2006;Comunicações;5
2006;Defesa e Segurança;20
2006;Direito Civil e Processual Civil;13
2006;Direito Penal e Processual Penal;22
2006;Direito e Justiça;2
2006;Direitos Humanos e Minorias;5
2006;Economia;19
2006;Educação;8
2006;Energia, Recursos Hídricos e Minerais;13
2006;Esporte e Lazer;6
2006;Estrutura Fundiária;59
2006;Finanças Públicas e Orçamento;110
2006;Indústria, Comércio e Serviços;44
2006;Meio Ambiente e Desenvolvimento Sustentável;18
2006;Previdência e Assistência Social;43
2006;Processo Legislativo e Atuação Parlamentar;4
2006;Relações Internacionais e Comércio Exterior;3
2006;Saúde;5
2006;Trabalho e Emprego;37
2006;Viação, Transporte e Mobilidade;18
2007;Administração Pública;110
2007;Agricultura, Pecuária, Pesca e Extrativismo;9
2007;Arte, Cultura e Religião;17
