txtDescricao;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
PASSAGEM AÉREA - RPA;2017;64249626.74;0.0;64249626.74;4901050
PASSAGEM AÉREA - RPA;2018;63461320.95;0.0;63461320.95;4271080
PASSAGEM AÉREA - RPA;2019;62680179.23;0.0;62680179.23;3995111
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2021;62382766.78;31009.11;62203874.45;867552
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2017;58003374.28;55091.6;57588738.4;723415
PASSAGEM AÉREA - RPA;2016;57545623.55;0.0;57545623.55;5280000
PASSAGEM AÉREA - RPA;2015;57492615.56;0.0;57492615.56;5496244
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2020;54668371.21;36932.11;54476911.81;667128
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2018;52473518.71;501354.07;51787680.07;471240
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2016;50781088.67;56935.42;50307555.74;567325
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2015;49992552.48;28526.98;49763738.45;551323
PASSAGEM AÉREA - RPA;2013;49708947.81;0.0;49750548.17;4982418
PASSAGEM AÉREA - RPA;2014;49616994.27;0.0;49683976.52;4632552
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2019;49346043.8;169245.49;48913901.81;607880
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2014;47854001.4;38450.18;47713100.26;389556
PASSAGEM AÉREA - RPA;2011;39575311.95;0.0;39586658.089999996;4119860
PASSAGEM AÉREA - RPA;2012;39255055.49;0.0;39256227.05;3963492
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2013;39404920.72;42487.33;39027781.55;541566
PASSAGEM AÉREA - SIGEPA;2021;32364117.63;0.0;32365752.13;1895376
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2012;30271543.5;364248.34;29775891.52;376704
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2011;30249182.96;804117.04;29445065.88;421666
TELEFONIA;2010;29252422.26;357789.23;28894772.47;3586033
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2022;28210433.49;12345.380000000001;28046002.73;384608
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2017;27951304.17;86243.93000000001;27811547.36;352935
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2021;27701459.96;135214.93;27499985.83;350560
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2016;27429119.04;174192.49;27111193.34;348755
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2018;26890776.55;114518.28;26732873.82;342430
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2019;26644798.31;123558.93000000001;26472330.89;350403
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2020;25146605.45;93920.47;24999244.74;318640
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2016;25151917.3;247427.38999999998;24713143.47;1321045
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2021;24543065.88;206025.06;24284813.68;1167712
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2020;24391460.49;193174.47;24182937.87;1187984
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2015;24388925.69;119928.35;24055651.72;317039
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2017;24031012.8;226650.95;23692877.52;1291400
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2016;23308464.0;13063.67;23190534.91;162085
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2019;23432266.1;209498.94;23155421.63;1225788
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2020;23100184.59;46634.36;23001949.62;130424
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2018;23119117.47;256345.54;22788713.87;1178925
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2009;23060119.78;377969.88;22682149.89;342009
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2015;23035934.97;289917.31;22556633.75;1175849
LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES;2012;22628917.62;316579.62;22221338.75;1769850
LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES;2011;22585970.36;442512.49;22143444.87;1954288
TELEFONIA;2011;22373371.85;361986.21;22011385.64;3375044
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2015;22124455.16;2414.37;21855452.56;166948
TELEFONIA;2012;21934530.18;352598.49;21572383.36;3422250
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2018;21622009.75;49105.5;21552117.92;127985
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2021;21583121.94;6495.17;21449215.32;136808
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2010;21461554.86;405889.0;21055666.13;213007
LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES;2013;21130130.09;34728.59;20875179.4;1473282
TELEFONIA;2013;21226456.933075;277107.25;20576874.51;4241808
LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES;2010;20860054.32;290999.54;20540554.8;1750272
PASSAGEM AÉREA - RPA;2010;20403942.88;0.0;20448267.92;2226424
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2019;20424757.62;11659.369999999999;20373986.41;132591
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2017;19520730.55;213.11;19369168.42;142890
COMBUSTÍVEIS E LUBRIFICANTES.;2016;19147127.78;263462.78;18845823.93;3990030
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2014;18711117.39;1587.56;18788349.69;124470
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2014;18971888.29;253208.46;18586347.62;1011744
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2013;18926971.57;219778.83;18458128.44;1101114
COMBUSTÍVEIS E LUBRIFICANTES.;2017;18730514.76;275504.81;18430093.82;3870405
TELEFONIA;2014;18208298.006816;268004.41;17832801.63;4054104
COMBUSTÍVEIS E LUBRIFICANTES.;2018;18114457.28;357611.6;17721817.42;3390475
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2012;18101822.75;510790.15;17537934.81;1136970
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2014;18018958.24;185136.01;17470306.81;235818
COMBUSTÍVEIS E LUBRIFICANTES.;2015;17617053.97;256057.85;17264227.4;4093689
PASSAGEM AÉREA - RPA;2009;14931681.82;0.0;16686751.0;1563447
COMBUSTÍVEIS E LUBRIFICANTES.;2011;17081024.69;447948.95;16589018.58;4187139
