anoEleicao;sexo;count
1890;M;206
1890;F;0
1893;M;135
1893;F;0
1896;M;81
1896;F;0
1899;M;84
1899;F;0
1902;M;77
1902;F;0
1905;M;71
1905;F;0
1908;M;66
1908;F;0
1911;M;86
1911;F;0
1914;F;0
1914;M;70
1917;M;75
1917;F;0
1920;F;0
1920;M;74
1923;M;73
1923;F;0
1926;M;63
1926;F;0
1929;M;53
1929;F;0
1933;M;218
1933;F;1
1934;M;158
1934;F;1
1945;F;0
1945;M;291
1950;M;248
1950;F;1
1954;M;227
1954;F;1
1958;M;202
1958;F;0
1962;M;291
1962;F;1
1966;M;181
1966;F;4
1970;F;0
1970;M;149
1974;F;1
1974;M;177
1978;F;3
1978;M;217
1982;M;259
1982;F;4
1986;F;24
1986;M;313
1990;F;19
1990;M;328
1994;F;27
1994;M;279
1998;F;14
1998;M;228
2002;M;207
2002;F;30
2006;M;236
2006;F;23
2010;M;243
2010;F;29
2014;M;212
2014;F;38
2018;M;234
2018;F;50
